data name, algorithm name, description, frame-index 1, frame-index 2, error-added, seconds, mse, percent match, hausdorff distance
Outside.NoTexture.rotation,none,regular,5,4,0,0,5002.53,0.00626232,47.8006
Outside.NoTexture.rotation,none,regular,6,5,0,0,36223.5,0.00507361,43.4093
Outside.NoTexture.rotation,none,regular,7,6,0,0,45835.4,0.00120022,184.436
Outside.NoTexture.rotation,none,regular,8,7,0,0,193464,0.00229476,212.491
Outside.NoTexture.rotation,none,regular,9,8,0,0,1338.18,0.0189975,17.2809
Outside.NoTexture.rotation,none,regular,10,9,0,0,3674.04,0.375787,5.78447
Outside.NoTexture.rotation,none,regular,11,10,0,0,2842.99,0.01735,35.1953
Outside.NoTexture.rotation,none,regular,12,11,0,0,59379.9,0.0302581,63.047
Outside.NoTexture.rotation,none,regular,13,12,0,0,110880,0.0215319,157.465
Outside.NoTexture.rotation,none,regular,14,13,0,0,7342.08,0.00886378,65.1346
Outside.NoTexture.rotation,none,regular,15,14,0,0,305700,0.029962,58.5274
Outside.NoTexture.rotation,none,regular,16,15,0,0,30752.9,0.00550524,93.063
Outside.NoTexture.rotation,none,regular,17,16,0,0,3620.11,0.027517,40.4645
Outside.NoTexture.rotation,none,regular,18,17,0,0,22016.1,0.016964,41.9214
Outside.NoTexture.rotation,none,regular,19,18,0,0,4.03227e+006,0.00188756,1823.83
Outside.NoTexture.rotation,none,regular,20,19,0,0,110523,0.00737307,54.2945
Outside.NoTexture.rotation,none,regular,21,20,0,0,14349.5,0.022551,62.7566
Outside.NoTexture.rotation,none,regular,22,21,0,0,5192.14,0.0227215,47.0133
Outside.NoTexture.rotation,none,regular,23,22,0,0,8376.77,0.0190497,57.2072
Outside.NoTexture.rotation,none,regular,24,23,0,0,130077,0.0232615,83.8328
Outside.NoTexture.rotation,none,regular,25,24,0,0,59581.1,0.0041791,167.977
Outside.NoTexture.rotation,none,regular,26,25,0,0,22508,0.00143637,89.9619
Outside.NoTexture.rotation,none,regular,27,26,0,0,4379.09,0.0201382,50.2416
Outside.NoTexture.rotation,none,regular,28,27,0,0,19679.7,0.00863197,88.3112
Outside.NoTexture.rotation,none,regular,29,28,0,0,25398.6,0.00444065,84.8462
Outside.NoTexture.rotation,pc,regular,5,4,0,2.73119,183.864,0.640207,2.06634
Outside.NoTexture.rotation,pc,regular,6,5,0,1.68056,60651,0.471134,11.0353
Outside.NoTexture.rotation,pc,regular,7,6,0,1.67044,2922.02,0.446365,3.97064
Outside.NoTexture.rotation,pc,regular,8,7,0,1.67165,224604,0.363743,28.5982
Outside.NoTexture.rotation,pc,regular,9,8,0,1.67151,101.899,0.567055,2.28468
Outside.NoTexture.rotation,pc,regular,10,9,0,1.67525,2765.06,0.534634,4.56243
Outside.NoTexture.rotation,pc,regular,11,10,0,1.69804,2210.57,0.0302957,29.8051
Outside.NoTexture.rotation,pc,regular,12,11,0,2.12068,45676.6,0.0330711,58.8688
Outside.NoTexture.rotation,pc,regular,13,12,0,2.11544,15284,0.0276033,36.8584
Outside.NoTexture.rotation,pc,regular,14,13,0,2.12072,472.612,0.433494,3.45506
Outside.NoTexture.rotation,pc,regular,15,14,0,2.11892,186625,0.312965,30.6851
Outside.NoTexture.rotation,pc,regular,16,15,0,2.14401,18460.7,0.0126889,86.4265
Outside.NoTexture.rotation,pc,regular,17,16,0,2.14153,2993.93,0.021484,25.7552
Outside.NoTexture.rotation,pc,regular,18,17,0,2.1421,14427.9,0.160335,11.6244
Outside.NoTexture.rotation,pc,regular,19,18,0,2.12049,261929,0.0244654,81.4052
Outside.NoTexture.rotation,pc,regular,20,19,0,2.13077,97750.2,0.0516228,46.1488
Outside.NoTexture.rotation,pc,regular,21,20,0,2.13012,991.175,0.0393175,21.4265
Outside.NoTexture.rotation,pc,regular,22,21,0,2.11603,3709.84,0.0334679,41.4222
Outside.NoTexture.rotation,pc,regular,23,22,0,2.12392,1982.26,0.0280209,29.9182
Outside.NoTexture.rotation,pc,regular,24,23,0,2.12872,485360,0.106078,100.152
Outside.NoTexture.rotation,pc,regular,25,24,0,2.12086,12145,0.0432107,35.6663
Outside.NoTexture.rotation,pc,regular,26,25,0,2.12429,1036.99,0.200028,7.77089
Outside.NoTexture.rotation,pc,regular,27,26,0,2.12946,273.239,0.42195,3.14695
Outside.NoTexture.rotation,pc,regular,28,27,0,2.12657,9080.05,0.0446999,47.7633
Outside.NoTexture.rotation,pc,regular,29,28,0,2.12501,7909.71,0.0348223,55.6829
Outside.NoTexture.rotation,pc2,regular,5,4,0,5.23767,5.90336e+007,0.000359668,5888.29
Outside.NoTexture.rotation,pc2,regular,6,5,0,5.24417,9.62336e+007,5.45061e-005,6459.55
Outside.NoTexture.rotation,pc2,regular,7,6,0,5.22997,2436.64,0.197933,5.1826
Outside.NoTexture.rotation,pc2,regular,8,7,0,5.22392,187149,0.326838,25.1085
Outside.NoTexture.rotation,pc2,regular,9,8,0,5.40698,99.898,0.316501,2.95921
Outside.NoTexture.rotation,pc2,regular,10,9,0,5.19204,14673.6,0.321415,6.46948
Outside.NoTexture.rotation,pc2,regular,11,10,0,5.18055,2138.48,0.0223632,29.6039
Outside.NoTexture.rotation,pc2,regular,12,11,0,5.46979,76866.4,0.0236035,70.4963
Outside.NoTexture.rotation,pc2,regular,13,12,0,5.14702,17750.7,0.0357552,39.5919
Outside.NoTexture.rotation,pc2,regular,14,13,0,5.15617,529.576,0.365438,3.21118
Outside.NoTexture.rotation,pc2,regular,15,14,0,5.14416,119833,0.186114,32.1859
Outside.NoTexture.rotation,pc2,regular,16,15,0,5.16131,2.18814e+007,0.000658913,3036.11
Outside.NoTexture.rotation,pc2,regular,17,16,0,5.4021,4973.81,0.01395,34.1163
Outside.NoTexture.rotation,pc2,regular,18,17,0,5.22659,3.58807e+007,0.000435703,4223.09
Outside.NoTexture.rotation,pc2,regular,19,18,0,5.20649,263694,0.018272,118.74
Outside.NoTexture.rotation,pc2,regular,20,19,0,5.14083,119031,0.0412308,46.0096
Outside.NoTexture.rotation,pc2,regular,21,20,0,5.17482,1.30383e+007,0.00048967,2679.64
Outside.NoTexture.rotation,pc2,regular,22,21,0,5.13621,6458.56,0.0322393,43.2279
Outside.NoTexture.rotation,pc2,regular,23,22,0,702.188,4600.73,0.0597124,28.2565
Outside.NoTexture.rotation,pc2,regular,24,23,0,5.5978,86836.2,0.214862,49.1009
Outside.NoTexture.rotation,pc2,regular,25,24,0,5.53079,9755.13,0.159213,19.0126
Outside.NoTexture.rotation,pc2,regular,26,25,0,5.6278,20417.2,0.247004,9.88745
Outside.NoTexture.rotation,pc2,regular,27,26,0,5.52689,308.682,0.345767,3.64117
Outside.NoTexture.rotation,pc2,regular,28,27,0,5.61569,7941.29,0.0325688,39.2518
Outside.NoTexture.rotation,pc2,regular,29,28,0,5.5047,69564.8,0.0641716,69.3886
Outside.NoTexture.rotation,pca,regular,5,4,0,0,3838.63,0.00626004,48.9715
Outside.NoTexture.rotation,pca,regular,6,5,0,0,35130.7,0.00506906,41.7239
Outside.NoTexture.rotation,pca,regular,7,6,0,0,58839.2,0.00120246,195.503
Outside.NoTexture.rotation,pca,regular,8,7,0,0,210227,0.00229698,211.754
Outside.NoTexture.rotation,pca,regular,9,8,0,0,678.034,0.0189691,16.9783
Outside.NoTexture.rotation,pca,regular,10,9,0,0,5055.44,0.376422,5.80111
Outside.NoTexture.rotation,pca,regular,11,10,0,0,2714.7,0.0172652,34.7024
Outside.NoTexture.rotation,pca,regular,12,11,0,0,49347.2,0.0302914,61.079
Outside.NoTexture.rotation,pca,regular,13,12,0,0,47507.5,0.0214806,154.35
Outside.NoTexture.rotation,pca,regular,14,13,0,0,6779.51,0.00887581,64.6577
Outside.NoTexture.rotation,pca,regular,15,14,0,0,379249,0.0299796,56.1717
Outside.NoTexture.rotation,pca,regular,16,15,0,0,22809.9,0.00550134,89.2963
Outside.NoTexture.rotation,pca,regular,17,16,0,0,3976.74,0.027517,40.8847
Outside.NoTexture.rotation,pca,regular,18,17,0,0,22044.4,0.0169924,42.3911
Outside.NoTexture.rotation,pca,regular,19,18,0,0,4.41704e+006,0.00187635,1882.17
Outside.NoTexture.rotation,pca,regular,20,19,0,0,169011,0.00736371,57.7286
Outside.NoTexture.rotation,pca,regular,21,20,0,0,16903.2,0.0225416,63.0363
Outside.NoTexture.rotation,pca,regular,22,21,0,0,8750.08,0.0227945,47.2427
Outside.NoTexture.rotation,pca,regular,23,22,0,0,23740.9,0.0190685,63.2873
Outside.NoTexture.rotation,pca,regular,24,23,0,0,104992,0.0232972,84.9751
Outside.NoTexture.rotation,pca,regular,25,24,0,0,40683.6,0.00419399,161.565
Outside.NoTexture.rotation,pca,regular,26,25,0,0,17393.1,0.00144006,91.2839
Outside.NoTexture.rotation,pca,regular,27,26,0,0,4330.98,0.0200904,50.1927
Outside.NoTexture.rotation,pca,regular,28,27,0,0,36034.8,0.00862462,95.9098
Outside.NoTexture.rotation,pca,regular,29,28,0,0,15287.3,0.00447726,79.1025
Outside.NoTexture.rotation,pc3,regular,5,4,0,49.9282,5.17268e+007,0.000569095,5085.15
Outside.NoTexture.rotation,pc3,regular,6,5,0,117.701,7.59574e+007,0.00515991,6168.05
Outside.NoTexture.rotation,pc3,regular,7,6,0,27.2123,2202.39,0.224654,6.23845
Outside.NoTexture.rotation,pc3,regular,8,7,0,43.0257,142230,0.46351,21.2321
Outside.NoTexture.rotation,pc3,regular,9,8,0,35.5967,118.73,0.577795,2.13365
Outside.NoTexture.rotation,pc3,regular,10,9,0,28.0118,3280.94,0.350657,6.14255
Outside.NoTexture.rotation,pc3,regular,11,10,0,82.1456,3696.24,0.0281232,26.7506
Outside.NoTexture.rotation,pc3,regular,12,11,0,53.0658,106445,0.0164825,63.968
Outside.NoTexture.rotation,pc3,regular,13,12,0,24.248,30686.4,0.0179986,47.3983
Outside.NoTexture.rotation,pc3,regular,14,13,0,63.1582,888.153,0.528784,2.90044
Outside.NoTexture.rotation,pc3,regular,15,14,0,44.9178,205494,0.260149,29.821
Outside.NoTexture.rotation,pc3,regular,16,15,0,47.0831,31650.9,0.0168432,89.9434
Outside.NoTexture.rotation,pc3,regular,17,16,0,46.0826,6695.75,0.023064,25.0649
