data name, algorithm name, description, frame-index 1, frame-index 2, error-added, seconds, mse, percent match, hausdorff distance
Boxes.Texture.arbitrarycamera,none,regular,5,4,0,0,4.91644,0.97899,0.153456
Boxes.Texture.arbitrarycamera,none,regular,6,5,0,0,2.71728,0.980535,0.154665
Boxes.Texture.arbitrarycamera,none,regular,7,6,0,0,3.40225,0.97969,0.152207
Boxes.Texture.arbitrarycamera,none,regular,8,7,0,0,11.8566,0.972719,0.230075
Boxes.Texture.arbitrarycamera,none,regular,9,8,0,0,36.4196,0.942448,0.394682
Boxes.Texture.arbitrarycamera,none,regular,10,9,0,0,4.71246,0.976492,0.183035
Boxes.Texture.arbitrarycamera,none,regular,11,10,0,0,25.7358,0.629965,0.98827
Boxes.Texture.arbitrarycamera,none,regular,12,11,0,0,51.0311,0.968101,0.328263
Boxes.Texture.arbitrarycamera,none,regular,13,12,0,0,55.132,0.971786,0.270175
Boxes.Texture.arbitrarycamera,none,regular,14,13,0,0,116.628,0.602085,1.38504
Boxes.Texture.arbitrarycamera,none,regular,15,14,0,0,2810.14,0.722164,2.61115
Boxes.Texture.arbitrarycamera,none,regular,16,15,0,0,162.543,0.885045,0.709755
Boxes.Texture.arbitrarycamera,none,regular,17,16,0,0,12.3769,0.964071,0.263145
Boxes.Texture.arbitrarycamera,none,regular,18,17,0,0,2.46127,0.918712,0.315805
Boxes.Texture.arbitrarycamera,none,regular,19,18,0,0,208.307,0.742053,2.52162
Boxes.Texture.arbitrarycamera,none,regular,20,19,0,0,129.097,0.947248,0.368343
Boxes.Texture.arbitrarycamera,none,regular,21,20,0,0,35.1913,0.979868,0.171384
Boxes.Texture.arbitrarycamera,none,regular,22,21,0,0,288.885,0.977027,0.361255
Boxes.Texture.arbitrarycamera,none,regular,23,22,0,0,9.81684,0.980991,0.156957
Boxes.Texture.arbitrarycamera,none,regular,24,23,0,0,7.82725,0.977252,0.186515
Boxes.Texture.arbitrarycamera,none,regular,25,24,0,0,606.605,0.97307,0.429164
Boxes.Texture.arbitrarycamera,none,regular,26,25,0,0,22.5814,0.973512,0.253059
