data name, algorithm name, description, frame-index 1, frame-index 2, error-added, seconds, mse, percent match, hausdorff distance
Boxes.Texture.rotate,none,regular,5,4,0,0,3.72999,0.97332,0.16759
Boxes.Texture.rotate,none,regular,6,5,0,0,8.21893,0.971597,0.183358
Boxes.Texture.rotate,none,regular,7,6,0,0,9.00964,0.974849,0.195317
Boxes.Texture.rotate,none,regular,8,7,0,0,29.1094,0.974807,0.195953
Boxes.Texture.rotate,none,regular,9,8,0,0,54.5092,0.96572,0.319438
Boxes.Texture.rotate,none,regular,10,9,0,0,1503,0.961226,0.862298
Boxes.Texture.rotate,none,regular,11,10,0,0,97.6215,0.86141,1.05351
Boxes.Texture.rotate,none,regular,12,11,0,0,86.399,0.893953,0.703812
Boxes.Texture.rotate,none,regular,13,12,0,0,23.3948,0.901228,0.445202
Boxes.Texture.rotate,none,regular,14,13,0,0,33.0138,0.938742,0.466212
Boxes.Texture.rotate,none,regular,15,14,0,0,21.9886,0.842166,0.54541
Boxes.Texture.rotate,none,regular,16,15,0,0,4.12154,0.952378,0.303246
Boxes.Texture.rotate,none,regular,17,16,0,0,95.2099,0.641974,1.62954
Boxes.Texture.rotate,none,regular,18,17,0,0,45.7894,0.951228,0.39503
Boxes.Texture.rotate,none,regular,19,18,0,0,10.4703,0.957839,0.296319
Boxes.Texture.rotate,none,regular,20,19,0,0,6.86646,0.94571,0.33986
Boxes.Texture.rotate,none,regular,21,20,0,0,69.0546,0.947667,0.367296
Boxes.Texture.rotate,none,regular,22,21,0,0,36.8131,0.92383,0.528989
Boxes.Texture.rotate,none,regular,23,22,0,0,1541.91,0.605544,3.76976
Boxes.Texture.rotate,none,regular,24,23,0,0,393.689,0.857105,0.732298
Boxes.Texture.rotate,none,regular,25,24,0,0,325.89,0.601875,1.7397
Boxes.Texture.rotate,none,regular,26,25,0,0,130.822,0.264028,4.32621
Boxes.Texture.rotate,none,regular,27,26,0,0,103.846,0.681497,1.39768
Boxes.Texture.rotate,none,regular,28,27,0,0,478.196,0.822764,1.79037
Boxes.Texture.rotate,none,regular,29,28,0,0,185.381,0.346189,2.7463
Boxes.Texture.rotate,pc,regular,5,4,0,3.11104,2.70399,0.97354,0.168267
Boxes.Texture.rotate,pc,regular,6,5,0,2.14913,1.62354,0.973296,0.158292
Boxes.Texture.rotate,pc,regular,7,6,0,2.1577,16.5232,0.97325,0.220316
Boxes.Texture.rotate,pc,regular,8,7,0,2.14356,9.08358,0.973115,0.1996
Boxes.Texture.rotate,pc,regular,9,8,0,2.14103,26.9606,0.968312,0.245594
Boxes.Texture.rotate,pc,regular,10,9,0,2.13156,55.2005,0.964369,0.439171
Boxes.Texture.rotate,pc,regular,11,10,0,2.18393,29.3044,0.859552,0.89994
Boxes.Texture.rotate,pc,regular,12,11,0,2.1564,109.926,0.962799,0.530819
Boxes.Texture.rotate,pc,regular,13,12,0,2.12332,5.25319,0.965119,0.25292
Boxes.Texture.rotate,pc,regular,14,13,0,2.15063,54.0738,0.949815,0.368314
Boxes.Texture.rotate,pc,regular,15,14,0,2.35143,7.17871,0.958556,0.303627
Boxes.Texture.rotate,pc,regular,16,15,0,2.15594,15.2049,0.949587,0.346705
Boxes.Texture.rotate,pc,regular,17,16,0,2.14375,11.7668,0.875869,0.656725
Boxes.Texture.rotate,pc,regular,18,17,0,2.14784,22.5975,0.95396,0.35757
Boxes.Texture.rotate,pc,regular,19,18,0,2.14096,10.436,0.958559,0.292414
Boxes.Texture.rotate,pc,regular,20,19,0,2.14774,21.2489,0.93649,0.427687
Boxes.Texture.rotate,pc,regular,21,20,0,2.14802,45.7459,0.952779,0.347868
Boxes.Texture.rotate,pc,regular,22,21,0,2.15746,43.3588,0.925585,0.552745
Boxes.Texture.rotate,pc,regular,23,22,0,2.16315,25.1528,0.892873,0.859329
Boxes.Texture.rotate,pc,regular,24,23,0,2.15182,85.2392,0.893475,0.685986
Boxes.Texture.rotate,pc,regular,25,24,0,2.15141,105.393,0.777649,0.991227
Boxes.Texture.rotate,pc,regular,26,25,0,2.15743,89.3672,0.886469,0.819894
Boxes.Texture.rotate,pc,regular,27,26,0,2.19603,25.0779,0.837661,0.672291
Boxes.Texture.rotate,pc,regular,28,27,0,2.19923,400.122,0.810335,1.40072
Boxes.Texture.rotate,pc,regular,29,28,0,2.15173,212.894,0.798755,1.06956
Boxes.Texture.rotate,pc2,regular,5,4,0,5.53232,2.35351,0.972112,0.178795
Boxes.Texture.rotate,pc2,regular,6,5,0,5.54586,20.3956,0.82574,0.488565
Boxes.Texture.rotate,pc2,regular,7,6,0,5.51244,83.8051,0.596485,1.43134
Boxes.Texture.rotate,pc2,regular,8,7,0,5.53491,80.1397,0.969646,0.271349
Boxes.Texture.rotate,pc2,regular,9,8,0,5.54643,157.318,0.793306,0.765588
Boxes.Texture.rotate,pc2,regular,10,9,0,5.52087,1476.28,0.791015,1.46554
Boxes.Texture.rotate,pc2,regular,11,10,0,5.57557,32303.9,0.00625541,124.222
Boxes.Texture.rotate,pc2,regular,12,11,0,5.48233,108.23,0.860885,0.771911
Boxes.Texture.rotate,pc2,regular,13,12,0,5.51886,1.8162,0.964571,0.238731
Boxes.Texture.rotate,pc2,regular,14,13,0,5.53664,85.1811,0.879786,0.483309
Boxes.Texture.rotate,pc2,regular,15,14,0,5.75274,16.9119,0.961516,0.290674
Boxes.Texture.rotate,pc2,regular,16,15,0,5.55299,4.91349,0.92268,0.346997
Boxes.Texture.rotate,pc2,regular,17,16,0,5.55243,43.9502,0.749607,1.2188
Boxes.Texture.rotate,pc2,regular,18,17,0,5.55214,226.808,0.606847,1.4215
Boxes.Texture.rotate,pc2,regular,19,18,0,5.53669,21.2625,0.939733,0.396674
Boxes.Texture.rotate,pc2,regular,20,19,0,5.52646,5.70382,0.963141,0.257926
Boxes.Texture.rotate,pc2,regular,21,20,0,5.17426,72.8707,0.889941,0.567095
Boxes.Texture.rotate,pc2,regular,22,21,0,5.3554,25.0433,0.84096,0.639953
Boxes.Texture.rotate,pc2,regular,23,22,0,5.20217,2228.65,0.555938,2.83233
Boxes.Texture.rotate,pc2,regular,24,23,0,5.1303,31.249,0.79653,0.739743
Boxes.Texture.rotate,pc2,regular,25,24,0,5.13188,88646.4,0.0767907,109.469
Boxes.Texture.rotate,pc2,regular,26,25,0,5.12108,43.99,0.901459,0.756465
Boxes.Texture.rotate,pc2,regular,27,26,0,5.20672,32603.9,0.0519514,86.0079
Boxes.Texture.rotate,pc2,regular,28,27,0,5.13402,459.298,0.358355,2.35104
Boxes.Texture.rotate,pc2,regular,29,28,0,5.16058,5541.67,0.787349,2.18328
Boxes.Texture.rotate,pca,regular,5,4,0,0,4.34657,0.972064,0.176076
Boxes.Texture.rotate,pca,regular,6,5,0,0,2.54148,0.973365,0.162825
Boxes.Texture.rotate,pca,regular,7,6,0,0,65.6346,0.972369,0.274232
Boxes.Texture.rotate,pca,regular,8,7,0,0,45.7241,0.973077,0.229025
Boxes.Texture.rotate,pca,regular,9,8,0,0,26.1027,0.966148,0.278239
Boxes.Texture.rotate,pca,regular,10,9,0,0,56.1061,0.962458,0.407814
Boxes.Texture.rotate,pca,regular,11,10,0,0,31.1483,0.85802,0.95295
Boxes.Texture.rotate,pca,regular,12,11,0,0,150.153,0.889911,0.822888
Boxes.Texture.rotate,pca,regular,13,12,0,0,5.36215,0.906328,0.400443
Boxes.Texture.rotate,pca,regular,14,13,0,0,60.9928,0.940598,0.447307
Boxes.Texture.rotate,pca,regular,15,14,0,0,60.744,0.838576,0.559398
Boxes.Texture.rotate,pca,regular,16,15,0,0,59.721,0.950714,0.354118
Boxes.Texture.rotate,pca,regular,17,16,0,0,84.755,0.641577,1.63395
Boxes.Texture.rotate,pca,regular,18,17,0,0,17.2716,0.951836,0.378309
Boxes.Texture.rotate,pca,regular,19,18,0,0,5.41858,0.957048,0.285915
Boxes.Texture.rotate,pca,regular,20,19,0,0,91.6413,0.944284,0.459806
Boxes.Texture.rotate,pca,regular,21,20,0,0,7.84396,0.949367,0.330291
Boxes.Texture.rotate,pca,regular,22,21,0,0,24.4074,0.925946,0.528996
Boxes.Texture.rotate,pca,regular,23,22,0,0,2590.9,0.609565,3.50111
Boxes.Texture.rotate,pca,regular,24,23,0,0,12.1173,0.861346,0.554411
Boxes.Texture.rotate,pca,regular,25,24,0,0,1120,0.595594,2.04964
Boxes.Texture.rotate,pca,regular,26,25,0,0,226.738,0.260146,4.46049
Boxes.Texture.rotate,pca,regular,27,26,0,0,51.7659,0.68542,1.33279
Boxes.Texture.rotate,pca,regular,28,27,0,0,315.586,0.819856,1.78303
Boxes.Texture.rotate,pca,regular,29,28,0,0,32.6631,0.354782,2.17709
Boxes.Texture.rotate,pc3,regular,5,4,0,13.1249,5.99708,0.972549,0.193736
Boxes.Texture.rotate,pc3,regular,6,5,0,23.9701,40.6331,0.952257,0.304201
Boxes.Texture.rotate,pc3,regular,7,6,0,23.9036,112.844,0.834589,0.693333
Boxes.Texture.rotate,pc3,regular,8,7,0,13.5762,3108.32,0.675515,1.67486
Boxes.Texture.rotate,pc3,regular,9,8,0,13.2088,577.604,0.95556,0.476309
Boxes.Texture.rotate,pc3,regular,10,9,0,13.0306,13.2978,0.921049,0.428968
Boxes.Texture.rotate,pc3,regular,11,10,0,35.1353,1468.03,0.451974,4.2039
Boxes.Texture.rotate,pc3,regular,12,11,0,13.0461,89.1324,0.939568,0.592229
Boxes.Texture.rotate,pc3,regular,13,12,0,12.9573,10.7091,0.961911,0.289048
Boxes.Texture.rotate,pc3,regular,14,13,0,23.778,21.6619,0.82229,0.595255
Boxes.Texture.rotate,pc3,regular,15,14,0,12.73,38.9692,0.963593,0.284683
Boxes.Texture.rotate,pc3,regular,16,15,0,12.9706,8.69641,0.903025,0.392604
Boxes.Texture.rotate,pc3,regular,17,16,0,24.0171,85.0902,0.783906,1.27352
Boxes.Texture.rotate,pc3,regular,18,17,0,13.8321,39137.5,0.721808,5.8683
Boxes.Texture.rotate,pc3,regular,19,18,0,12.9644,14.8678,0.916262,0.437007
Boxes.Texture.rotate,pc3,regular,20,19,0,12.6784,12.9309,0.959762,0.318897
Boxes.Texture.rotate,pc3,regular,21,20,0,13.195,6.28723,0.897812,0.433406
Boxes.Texture.rotate,pc3,regular,22,21,0,12.9241,4.54631,0.925068,0.392915
Boxes.Texture.rotate,pc3,regular,23,22,0,23.5533,74.4534,0.880951,0.92344
Boxes.Texture.rotate,pc3,regular,24,23,0,13.3954,161.543,0.761485,0.966236
Boxes.Texture.rotate,pc3,regular,25,24,0,36.5179,11714.2,0.236507,37.8088
Boxes.Texture.rotate,pc3,regular,26,25,0,24.2522,44.5852,0.920234,0.753512
Boxes.Texture.rotate,pc3,regular,27,26,0,36.5576,1.06414e+006,0.0401176,280.779
Boxes.Texture.rotate,pc3,regular,28,27,0,24.6205,216.658,0.852836,1.42325
Boxes.Texture.rotate,pc3,regular,29,28,0,34.9743,553.327,0.848329,0.944499
Boxes.Texture.rotate,fm,regular,5,4,0,0.428221,2.92671,0.970031,0.205763
Boxes.Texture.rotate,fm,regular,6,5,0,0.42406,172.149,0.968072,0.28936
Boxes.Texture.rotate,fm,regular,7,6,0,0.331378,22.1128,0.964184,0.282948
Boxes.Texture.rotate,fm,regular,8,7,0,0.395585,94.1617,0.972129,0.260971
Boxes.Texture.rotate,fm,regular,9,8,0,0.323881,94.1057,0.968291,0.297929
Boxes.Texture.rotate,fm,regular,10,9,0,0.35974,2709.16,0.964914,1.13841
Boxes.Texture.rotate,fm,regular,11,10,0,0.355913,30.5243,0.859493,0.856551
