data name, algorithm name, description, frame-index 1, frame-index 2, error-added, seconds, mse, percent match, hausdorff distance
Desk.Texture.Translation,none,regular,5,4,0,0,95.4837,0.952321,0.387445
Desk.Texture.Translation,none,regular,6,5,0,0,46.8818,0.858063,0.625654
Desk.Texture.Translation,none,regular,7,6,0,0,310.797,0.944897,0.547213
Desk.Texture.Translation,none,regular,8,7,0,0,60.8945,0.84832,0.796248
Desk.Texture.Translation,none,regular,9,8,0,0,980.65,0.803907,1.30639
Desk.Texture.Translation,none,regular,10,9,0,0,5.93326,0.840716,0.570267
Desk.Texture.Translation,none,regular,11,10,0,0,326.702,0.650147,1.95981
Desk.Texture.Translation,none,regular,12,11,0,0,18.052,0.802683,0.655868
Desk.Texture.Translation,none,regular,13,12,0,0,74.7686,0.597386,2.03701
Desk.Texture.Translation,none,regular,14,13,0,0,61.3659,0.636019,1.60263
Desk.Texture.Translation,none,regular,15,14,0,0,2514.44,0.256815,26.2152
Desk.Texture.Translation,none,regular,16,15,0,0,76729,0.348591,24.2531
Desk.Texture.Translation,none,regular,17,16,0,0,16626.8,0.206634,77.0471
Desk.Texture.Translation,none,regular,18,17,0,0,8296.48,0.317614,14.8528
Desk.Texture.Translation,none,regular,19,18,0,0,202.409,0.370535,8.28296
Desk.Texture.Translation,none,regular,20,19,0,0,2558.69,0.274375,32.5041
Desk.Texture.Translation,none,regular,21,20,0,0,35.6051,0.942793,0.458661
Desk.Texture.Translation,none,regular,22,21,0,0,70.5604,0.783242,1.07722
Desk.Texture.Translation,none,regular,23,22,0,0,131.868,0.60513,2.05516
Desk.Texture.Translation,none,regular,24,23,0,0,415.862,0.777606,2.39856
Desk.Texture.Translation,none,regular,25,24,0,0,1343.78,0.614642,2.27127
Desk.Texture.Translation,none,regular,26,25,0,0,1463.2,0.6052,3.25975
Desk.Texture.Translation,none,regular,27,26,0,0,2946.67,0.0585088,28.3211
Desk.Texture.Translation,none,regular,28,27,0,0,1018.02,0.461899,3.00641
Desk.Texture.Translation,none,regular,29,28,0,0,123.215,0.735161,1.42504
Desk.Texture.Translation,pc,regular,5,4,0,2.75787,68.8516,0.951086,0.416506
Desk.Texture.Translation,pc,regular,6,5,0,2.13328,4.81951,0.949231,0.323227
Desk.Texture.Translation,pc,regular,7,6,0,2.12623,27.1758,0.945518,0.37408
Desk.Texture.Translation,pc,regular,8,7,0,2.12034,54.2081,0.852877,0.816855
Desk.Texture.Translation,pc,regular,9,8,0,2.11957,55.9188,0.886247,0.696229
Desk.Texture.Translation,pc,regular,10,9,0,2.11877,20.5368,0.909992,0.497777
Desk.Texture.Translation,pc,regular,11,10,0,2.11797,55.748,0.810898,1.00015
Desk.Texture.Translation,pc,regular,12,11,0,2.12168,19.1559,0.930052,0.508129
Desk.Texture.Translation,pc,regular,13,12,0,2.12846,62.8813,0.713265,1.41118
Desk.Texture.Translation,pc,regular,14,13,0,2.11839,26.8736,0.799693,0.97112
Desk.Texture.Translation,pc,regular,15,14,0,2.12611,2979.59,0.255771,25.3304
Desk.Texture.Translation,pc,regular,16,15,0,2.12415,1438.26,0.390244,15.5121
Desk.Texture.Translation,pc,regular,17,16,0,2.12142,14727.3,0.280124,72.5779
Desk.Texture.Translation,pc,regular,18,17,0,2.12039,3001.06,0.368279,11.9743
Desk.Texture.Translation,pc,regular,19,18,0,2.12531,332.341,0.365311,8.43303
Desk.Texture.Translation,pc,regular,20,19,0,2.12159,3034.26,0.313766,34.8077
Desk.Texture.Translation,pc,regular,21,20,0,2.12027,182.373,0.940788,0.604385
Desk.Texture.Translation,pc,regular,22,21,0,2.11703,13.1517,0.879653,0.528114
Desk.Texture.Translation,pc,regular,23,22,0,2.13168,150.901,0.730242,1.5569
Desk.Texture.Translation,pc,regular,24,23,0,2.12447,2789.31,0.74286,5.6604
Desk.Texture.Translation,pc,regular,25,24,0,2.11462,798.528,0.790528,1.14075
Desk.Texture.Translation,pc,regular,26,25,0,2.11892,275.148,0.703681,2.11191
Desk.Texture.Translation,pc,regular,27,26,0,2.13913,574.197,0.824656,3.26199
Desk.Texture.Translation,pc,regular,28,27,0,2.12432,28.2825,0.88147,0.618047
Desk.Texture.Translation,pc,regular,29,28,0,2.12327,552.398,0.820195,1.83093
Desk.Texture.Translation,pc2,regular,5,4,0,5.35673,376.953,0.937709,0.633928
Desk.Texture.Translation,pc2,regular,6,5,0,5.45421,13.1478,0.946563,0.356939
Desk.Texture.Translation,pc2,regular,7,6,0,5.44919,54.4691,0.868369,0.576953
Desk.Texture.Translation,pc2,regular,8,7,0,5.44198,103.065,0.75272,1.0396
Desk.Texture.Translation,pc2,regular,9,8,0,5.46995,250.723,0.852964,1.07719
Desk.Texture.Translation,pc2,regular,10,9,0,5.46381,63.1762,0.663539,1.13895
Desk.Texture.Translation,pc2,regular,11,10,0,5.43678,300.012,0.632137,1.68085
Desk.Texture.Translation,pc2,regular,12,11,0,5.44652,50.0397,0.815747,0.877283
Desk.Texture.Translation,pc2,regular,13,12,0,5.4643,1765.71,0.59485,2.7555
Desk.Texture.Translation,pc2,regular,14,13,0,5.44528,87.7557,0.684652,1.64383
Desk.Texture.Translation,pc2,regular,15,14,0,5.45102,8358.65,0.238126,25.7686
Desk.Texture.Translation,pc2,regular,16,15,0,5.46535,6493.26,0.382778,18.8727
Desk.Texture.Translation,pc2,regular,17,16,0,5.43518,21787,0.283416,86.7985
Desk.Texture.Translation,pc2,regular,18,17,0,5.47404,12801,0.256172,18.953
Desk.Texture.Translation,pc2,regular,19,18,0,5.45695,241.729,0.30961,8.98219
Desk.Texture.Translation,pc2,regular,20,19,0,5.48544,5114.75,0.0211577,52.3714
Desk.Texture.Translation,pc2,regular,21,20,0,5.44835,42.7354,0.928783,0.534117
Desk.Texture.Translation,pc2,regular,22,21,0,5.46552,93.3669,0.763055,0.985256
Desk.Texture.Translation,pc2,regular,23,22,0,5.4713,705.676,0.478151,4.07764
Desk.Texture.Translation,pc2,regular,24,23,0,5.44891,885.04,0.456099,5.64733
Desk.Texture.Translation,pc2,regular,25,24,0,5.47908,15773.8,0.0123058,84.0901
Desk.Texture.Translation,pc2,regular,26,25,0,5.48928,63993,0.103189,55.8885
Desk.Texture.Translation,pc2,regular,27,26,0,5.11781,650.436,0.635293,3.67992
Desk.Texture.Translation,pc2,regular,28,27,0,5.06092,143.666,0.468195,2.42559
Desk.Texture.Translation,pc2,regular,29,28,0,5.08873,883.734,0.649253,2.34474
