alg,frame1,frame2,seconds,hd
none,5,4,0,4.43162
none,6,5,0,10.8393
none,7,6,0,8.81599
none,8,7,0,18.1972
none,9,8,0,40.3067
none,10,9,0,7.14964
none,11,10,0,15.094
none,12,11,0,41.3888
none,13,12,0,41.7577
none,14,13,0,75.2629
none,15,14,0,39.9619
none,16,15,0,19.3027
none,17,16,0,68.4341
none,18,17,0,16.0448
none,19,18,0,9.8596
none,20,19,0,9.2791
none,21,20,0,24.8839
none,22,21,0,21.25
none,23,22,0,116.622
none,24,23,0,153.254
none,25,24,0,13.4331
none,26,25,0,51.6402
none,27,26,0,190.708
none,28,27,0,246.044
none,29,28,0,46.0837
FM2D,5,4,0.698548,2.42139
FM2D,6,5,0.613203,10.6682
FM2D,7,6,0.588319,3.1117
FM2D,8,7,0.545269,18.992
FM2D,9,8,0.532585,40.3231
FM2D,10,9,0.561542,3.31636
FM2D,11,10,0.529039,11.8674
FM2D,12,11,0.55301,34.1452
FM2D,13,12,0.578808,3.69819
FM2D,14,13,0.560069,7.13724
FM2D,15,14,0.547963,28.4301
FM2D,16,15,0.54438,16.4944
FM2D,17,16,0.5432,37.9299
FM2D,18,17,0.503684,8.22564
FM2D,19,18,0.49723,10.1998
FM2D,20,19,0.48936,4.82169
FM2D,21,20,0.482387,13.7588
FM2D,22,21,0.531836,8.00143
FM2D,23,22,0.510026,19.2616
FM2D,24,23,0.496683,8.46994
FM2D,25,24,0.50308,10.6171
FM2D,26,25,0.447479,5.05361
FM2D,27,26,0.489958,2.84116
FM2D,28,27,0.543304,7.49181
FM2D,29,28,0.549771,38.4181
FM3D,5,4,70.9329,3.98966
FM3D,6,5,70.7042,21.9499
FM3D,7,6,70.002,9.76618
FM3D,8,7,70.0494,26.4685
FM3D,9,8,70.4357,18579.8
FM3D,10,9,71.4888,7.0465
FM3D,11,10,71.8148,15.3232
FM3D,12,11,71.7968,40.452
FM3D,13,12,71.6252,53.8474
FM3D,14,13,71.5416,78.5394
FM3D,15,14,71.8586,2903.09
FM3D,16,15,70.5972,19.7024
FM3D,17,16,69.5375,60.3178
FM3D,18,17,70.858,14.5069
FM3D,19,18,70.6695,15.3833
FM3D,20,19,70.7398,9.69731
FM3D,21,20,70.6272,19.1244
FM3D,22,21,70.2987,7.24363
FM3D,23,22,70.6749,541.736
FM3D,24,23,70.4535,20.9764
FM3D,25,24,69.6561,13.0617
FM3D,26,25,70.3609,27.8228
FM3D,27,26,70.3948,7.86983
FM3D,28,27,70.357,9.57222
FM3D,29,28,69.6271,54.546
ICP,5,4,6.23293,3.00145
ICP,6,5,8.37465,15.003
ICP,7,6,12.5686,5.32062
ICP,8,7,6.67061,18.612
ICP,9,8,11.6383,33.4187
ICP,10,9,6.91684,5.89047
ICP,11,10,4.37254,13.978
ICP,12,11,8.56861,32.4676
ICP,13,12,22.9524,14.44
ICP,14,13,9.04617,57.5641
ICP,15,14,7.11166,26.2899
ICP,16,15,9.44689,16.9908
ICP,17,16,9.56814,45.6223
ICP,18,17,10.3304,10.3078
ICP,19,18,12.0446,8.09293
ICP,20,19,14.7084,4.90147
ICP,21,20,12.7786,15.0339
ICP,22,21,5.38085,21.9674
ICP,23,22,14.4321,31.7961
ICP,24,23,33.8168,23.5377
ICP,25,24,8.19549,10.0764
ICP,26,25,23.1185,6.40189
ICP,27,26,24.7846,11.8599
ICP,28,27,12.2367,100.909
ICP,29,28,19.8873,34.2899
PCA,5,4,0.012397,4.33358
PCA,6,5,0.01183,711.003
PCA,7,6,0.011332,30.7468
PCA,8,7,0.011975,42.6827
PCA,9,8,0.012225,95.087
PCA,10,9,0.012117,12.6078
PCA,11,10,0.01179,16.1658
PCA,12,11,0.011643,34.7535
PCA,13,12,0.011893,14.385
PCA,14,13,0.012403,15.4293
PCA,15,14,0.012703,32.857
PCA,16,15,0.013588,20.4578
PCA,17,16,0.013415,51.8871
PCA,18,17,0.014147,10.6138
PCA,19,18,0.014542,24.7569
PCA,20,19,0.014164,15.4999
PCA,21,20,0.014279,25.4273
PCA,22,21,0.014397,20.9297
PCA,23,22,0.015987,44.2418
PCA,24,23,0.015944,27.0112
PCA,25,24,0.015766,23.9967
PCA,26,25,0.017128,13.3188
PCA,27,26,0.017662,10.0536
PCA,28,27,0.01677,14.7574
PCA,29,28,0.016234,43.663
FVR,5,4,73.84,2.62279
FVR,6,5,57.6092,11.853
FVR,7,6,57.7158,4.26862
FVR,8,7,57.8193,26.3118
FVR,9,8,57.7329,53.6417
FVR,10,9,57.9811,357.077
FVR,11,10,57.8492,17.4056
FVR,12,11,57.9578,42.5064
FVR,13,12,57.8988,3.01827
FVR,14,13,57.8744,7.1805
FVR,15,14,57.9142,45.1396
FVR,16,15,57.9554,13.3189
FVR,17,16,57.5737,34.0228
FVR,18,17,57.4671,7.34445
FVR,19,18,57.5888,8.03295
FVR,20,19,57.5811,7.75503
FVR,21,20,57.5879,23.2213
FVR,22,21,57.585,6.73901
FVR,23,22,57.5616,18.8227
FVR,24,23,59.3914,7.46627
FVR,25,24,59.4144,32.6989
FVR,26,25,59.4144,19.7942
