data name, algorithm name, description, frame-index 1, frame-index 2, error-added, seconds, mse, percent match, hausdorff distance
Apartment.Texture.rotateXAxis,none,regular,5,4,0,0,118.378,0.259912,3.01491
Apartment.Texture.rotateXAxis,none,regular,6,5,0,0,399.522,0.21334,4.92056
Apartment.Texture.rotateXAxis,none,regular,7,6,0,0,573.326,0.182764,8.02254
Apartment.Texture.rotateXAxis,none,regular,8,7,0,0,243.795,0.601202,2.10063
Apartment.Texture.rotateXAxis,none,regular,9,8,0,0,1519.63,0.154645,11.8889
Apartment.Texture.rotateXAxis,none,regular,10,9,0,0,141.659,0.212093,4.08849
Apartment.Texture.rotateXAxis,none,regular,11,10,0,0,927.165,0.375993,2.60846
Apartment.Texture.rotateXAxis,none,regular,12,11,0,0,101.967,0.268355,3.74303
Apartment.Texture.rotateXAxis,none,regular,13,12,0,0,958.104,0.147594,6.21446
Apartment.Texture.rotateXAxis,none,regular,14,13,0,0,51.1551,0.430944,1.92813
Apartment.Texture.rotateXAxis,none,regular,15,14,0,0,100.28,0.141257,4.75549
Apartment.Texture.rotateXAxis,none,regular,16,15,0,0,1733.69,0.135313,23.1895
Apartment.Texture.rotateXAxis,none,regular,17,16,0,0,84.2488,0.318064,2.59581
Apartment.Texture.rotateXAxis,none,regular,18,17,0,0,73.6007,0.407412,2.46257
Apartment.Texture.rotateXAxis,none,regular,19,18,0,0,1219.21,0.123043,12.8339
Apartment.Texture.rotateXAxis,none,regular,20,19,0,0,2233.51,0.0678343,28.7606
Apartment.Texture.rotateXAxis,none,regular,21,20,0,0,955.273,0.0766654,17.6128
Apartment.Texture.rotateXAxis,none,regular,22,21,0,0,4089.16,0.0533958,34.5115
Apartment.Texture.rotateXAxis,none,regular,23,22,0,0,621.506,0.338661,3.70713
Apartment.Texture.rotateXAxis,none,regular,24,23,0,0,374.254,0.602346,1.80663
Apartment.Texture.rotateXAxis,none,regular,25,24,0,0,35.0021,0.45449,2.18706
Apartment.Texture.rotateXAxis,none,regular,26,25,0,0,222.705,0.560107,2.25055
Apartment.Texture.rotateXAxis,none,regular,27,26,0,0,600.604,0.163505,11.3021
Apartment.Texture.rotateXAxis,none,regular,28,27,0,0,774.078,0.267384,9.06469
Apartment.Texture.rotateXAxis,none,regular,29,28,0,0,149.615,0.599527,2.04966
Apartment.Texture.rotateXAxis,pc,regular,5,4,0,2.77821,80.75,0.702613,1.35657
Apartment.Texture.rotateXAxis,pc,regular,6,5,0,2.15242,249.65,0.677027,1.77977
Apartment.Texture.rotateXAxis,pc,regular,7,6,0,2.14187,325.717,0.617828,1.59459
Apartment.Texture.rotateXAxis,pc,regular,8,7,0,2.15845,782.374,0.696715,2.3148
Apartment.Texture.rotateXAxis,pc,regular,9,8,0,2.14038,48.8094,0.446055,2.2189
Apartment.Texture.rotateXAxis,pc,regular,10,9,0,2.25322,73.218,0.698011,1.34725
Apartment.Texture.rotateXAxis,pc,regular,11,10,0,2.13224,147.261,0.575749,1.80287
Apartment.Texture.rotateXAxis,pc,regular,12,11,0,2.13861,39.0709,0.493067,2.27365
Apartment.Texture.rotateXAxis,pc,regular,13,12,0,2.13227,1268.14,0.344355,3.52038
Apartment.Texture.rotateXAxis,pc,regular,14,13,0,2.12893,85.6561,0.647808,1.38467
Apartment.Texture.rotateXAxis,pc,regular,15,14,0,2.13057,69.1973,0.283131,3.48188
Apartment.Texture.rotateXAxis,pc,regular,16,15,0,2.16093,2239.28,0.138314,25.1005
Apartment.Texture.rotateXAxis,pc,regular,17,16,0,2.12182,236.912,0.545647,1.82235
Apartment.Texture.rotateXAxis,pc,regular,18,17,0,2.14997,50.444,0.588647,1.69329
Apartment.Texture.rotateXAxis,pc,regular,19,18,0,2.14581,552.559,0.532194,2.36257
Apartment.Texture.rotateXAxis,pc,regular,20,19,0,2.12975,147.548,0.581503,1.7337
Apartment.Texture.rotateXAxis,pc,regular,21,20,0,2.33149,876.426,0.128081,15.5453
Apartment.Texture.rotateXAxis,pc,regular,22,21,0,2.12805,6291.28,0.0985278,32.6591
Apartment.Texture.rotateXAxis,pc,regular,23,22,0,2.16233,432.012,0.564867,2.43102
Apartment.Texture.rotateXAxis,pc,regular,24,23,0,2.27377,195.088,0.602463,1.72476
Apartment.Texture.rotateXAxis,pc,regular,25,24,0,2.13667,72.4199,0.532331,2.02239
Apartment.Texture.rotateXAxis,pc,regular,26,25,0,2.12232,310.806,0.561046,2.28434
Apartment.Texture.rotateXAxis,pc,regular,27,26,0,2.13449,461.336,0.150704,9.76412
Apartment.Texture.rotateXAxis,pc,regular,28,27,0,2.15912,1232.63,0.191602,9.78943
Apartment.Texture.rotateXAxis,pc,regular,29,28,0,2.15571,94.3516,0.59961,1.97714
Apartment.Texture.rotateXAxis,pc2,regular,5,4,0,5.18317,78.5955,0.644239,1.48767
Apartment.Texture.rotateXAxis,pc2,regular,6,5,0,5.18953,139.472,0.701054,1.59245
Apartment.Texture.rotateXAxis,pc2,regular,7,6,0,5.13922,71.3324,0.699179,1.39705
Apartment.Texture.rotateXAxis,pc2,regular,8,7,0,5.16575,225.304,0.636564,2.09041
Apartment.Texture.rotateXAxis,pc2,regular,9,8,0,5.75116,25.2278,0.620286,1.31841
Apartment.Texture.rotateXAxis,pc2,regular,10,9,0,5.5961,57.0434,0.631152,1.49253
Apartment.Texture.rotateXAxis,pc2,regular,11,10,0,5.55609,237.228,0.471917,2.2287
Apartment.Texture.rotateXAxis,pc2,regular,12,11,0,5.56985,190.292,0.545572,1.85132
Apartment.Texture.rotateXAxis,pc2,regular,13,12,0,5.55763,265.965,0.322867,3.53245
Apartment.Texture.rotateXAxis,pc2,regular,14,13,0,5.56591,26.3907,0.605819,1.42701
Apartment.Texture.rotateXAxis,pc2,regular,15,14,0,5.5634,59.295,0.286439,3.32084
Apartment.Texture.rotateXAxis,pc2,regular,16,15,0,5.54831,1809.45,0.138082,25.2582
Apartment.Texture.rotateXAxis,pc2,regular,17,16,0,5.57479,335.954,0.244621,5.42186
Apartment.Texture.rotateXAxis,pc2,regular,18,17,0,5.593,110.275,0.369952,2.4667
Apartment.Texture.rotateXAxis,pc2,regular,19,18,0,5.5603,290.469,0.283853,3.20109
Apartment.Texture.rotateXAxis,pc2,regular,20,19,0,5.56828,53.8286,0.378067,2.43874
Apartment.Texture.rotateXAxis,pc2,regular,21,20,0,5.67895,1034.48,0.0431556,18.625
Apartment.Texture.rotateXAxis,pc2,regular,22,21,0,5.60807,4888.36,0.0535159,33.4392
Apartment.Texture.rotateXAxis,pc2,regular,23,22,0,5.51893,446.742,0.42715,2.82272
Apartment.Texture.rotateXAxis,pc2,regular,24,23,0,5.5803,505.414,0.153642,13.387
Apartment.Texture.rotateXAxis,pc2,regular,25,24,0,5.58671,44.8411,0.293931,2.90842
Apartment.Texture.rotateXAxis,pc2,regular,26,25,0,5.57274,377.636,0.31072,3.47054
Apartment.Texture.rotateXAxis,pc2,regular,27,26,0,5.54041,1059.24,0.0418498,16.6921
Apartment.Texture.rotateXAxis,pc2,regular,28,27,0,5.57045,1125.69,0.113495,14.4025
Apartment.Texture.rotateXAxis,pc2,regular,29,28,0,5.53566,85.4131,0.476316,2.31065
Apartment.Texture.rotateXAxis,pca,regular,5,4,0,0,127.305,0.260386,3.10286
Apartment.Texture.rotateXAxis,pca,regular,6,5,0,0,337.353,0.213394,4.77207
Apartment.Texture.rotateXAxis,pca,regular,7,6,0,0,230.519,0.183038,7.43396
Apartment.Texture.rotateXAxis,pca,regular,8,7,0,0,221.207,0.600655,2.11467
Apartment.Texture.rotateXAxis,pca,regular,9,8,0,0,625.732,0.153985,11.5665
Apartment.Texture.rotateXAxis,pca,regular,10,9,0,0,112.469,0.211917,4.09888
Apartment.Texture.rotateXAxis,pca,regular,11,10,0,0,210.864,0.376108,2.35325
Apartment.Texture.rotateXAxis,pca,regular,12,11,0,0,269.813,0.267857,4.21141
Apartment.Texture.rotateXAxis,pca,regular,13,12,0,0,773.101,0.147648,6.63178
Apartment.Texture.rotateXAxis,pca,regular,14,13,0,0,46.9929,0.431328,1.94035
Apartment.Texture.rotateXAxis,pca,regular,15,14,0,0,201.054,0.141037,5.14782
Apartment.Texture.rotateXAxis,pca,regular,16,15,0,0,1828.5,0.135213,23.9927
Apartment.Texture.rotateXAxis,pca,regular,17,16,0,0,104.699,0.317472,2.70367
Apartment.Texture.rotateXAxis,pca,regular,18,17,0,0,51.3249,0.407425,2.39639
Apartment.Texture.rotateXAxis,pca,regular,19,18,0,0,872.084,0.12299,12.197
Apartment.Texture.rotateXAxis,pca,regular,20,19,0,0,2176.71,0.068598,28.1271
Apartment.Texture.rotateXAxis,pca,regular,21,20,0,0,1171.19,0.076507,18.4855
Apartment.Texture.rotateXAxis,pca,regular,22,21,0,0,5164.88,0.0536416,35.5358
Apartment.Texture.rotateXAxis,pca,regular,23,22,0,0,478.674,0.338355,3.60088
Apartment.Texture.rotateXAxis,pca,regular,24,23,0,0,152.253,0.604102,1.68152
Apartment.Texture.rotateXAxis,pca,regular,25,24,0,0,130.179,0.453101,2.28141
Apartment.Texture.rotateXAxis,pca,regular,26,25,0,0,259.694,0.561416,2.33719
Apartment.Texture.rotateXAxis,pca,regular,27,26,0,0,552.385,0.164291,11.1342
Apartment.Texture.rotateXAxis,pca,regular,28,27,0,0,654.955,0.267777,8.89505
Apartment.Texture.rotateXAxis,pca,regular,29,28,0,0,121.458,0.599079,1.98568
Apartment.Texture.rotateXAxis,pc3,regular,5,4,0,33.5778,90.7723,0.732311,1.30199
Apartment.Texture.rotateXAxis,pc3,regular,6,5,0,33.4766,247.243,0.751537,1.64419
Apartment.Texture.rotateXAxis,pc3,regular,7,6,0,64.798,81.5819,0.744206,1.29843
Apartment.Texture.rotateXAxis,pc3,regular,8,7,0,34.4007,248.915,0.70386,1.97788
Apartment.Texture.rotateXAxis,pc3,regular,9,8,0,44.7005,24.2704,0.662219,1.26285
Apartment.Texture.rotateXAxis,pc3,regular,10,9,0,54.8782,42.5758,0.707382,1.28612
Apartment.Texture.rotateXAxis,pc3,regular,11,10,0,34.4245,307.359,0.606995,1.8038
Apartment.Texture.rotateXAxis,pc3,regular,12,11,0,34.4913,27.9939,0.596373,1.59488
Apartment.Texture.rotateXAxis,pc3,regular,13,12,0,55.9595,200.825,0.545928,2.30956
Apartment.Texture.rotateXAxis,pc3,regular,14,13,0,54.4299,59.3513,0.677264,1.34343
Apartment.Texture.rotateXAxis,pc3,regular,15,14,0,45.9189,57.1488,0.399584,3.00592
Apartment.Texture.rotateXAxis,pc3,regular,16,15,0,35.6458,1821.23,0.123526,23.6344
Apartment.Texture.rotateXAxis,pc3,regular,17,16,0,86.9109,294.31,0.666067,1.55699
Apartment.Texture.rotateXAxis,pc3,regular,18,17,0,45.5659,61.6667,0.585227,1.6489
Apartment.Texture.rotateXAxis,pc3,regular,19,18,0,101.71,294.108,0.616316,2.01596
Apartment.Texture.rotateXAxis,pc3,regular,20,19,0,45.8002,67.8695,0.566118,1.71936
Apartment.Texture.rotateXAxis,pc3,regular,21,20,0,47.8927,592.944,0.0928657,12.957
