data name, algorithm name, description, frame-index 1, frame-index 2, error-added, seconds, mse, percent match, hausdorff distance
Office.Texture.Translation,none,regular,5,4,0,0,104.92,0.57654,2.29581
Office.Texture.Translation,none,regular,6,5,0,0,240.823,0.280413,4.66889
Office.Texture.Translation,none,regular,7,6,0,0,214.084,0.404508,3.9996
Office.Texture.Translation,none,regular,8,7,0,0,1681.08,0.155765,12.589
Office.Texture.Translation,none,regular,9,8,0,0,681.258,0.306823,5.35046
Office.Texture.Translation,none,regular,10,9,0,0,1710.7,0.138645,13.8202
Office.Texture.Translation,none,regular,11,10,0,0,978.104,0.22036,9.00078
Office.Texture.Translation,none,regular,12,11,0,0,2475.86,0.109552,9.891
Office.Texture.Translation,none,regular,13,12,0,0,2453.68,0.0398779,29.6519
Office.Texture.Translation,none,regular,14,13,0,0,721.326,0.0844629,14.8272
Office.Texture.Translation,none,regular,15,14,0,0,132204,0.138765,46.9394
Office.Texture.Translation,none,regular,16,15,0,0,345628,0.223745,59.8043
Office.Texture.Translation,none,regular,17,16,0,0,28041,0.164079,23.835
Office.Texture.Translation,none,regular,18,17,0,0,1556.38,0.0420469,23.0059
Office.Texture.Translation,none,regular,19,18,0,0,2160.91,0.0318634,24.0494
Office.Texture.Translation,none,regular,20,19,0,0,3126.14,0.208777,14.2087
Office.Texture.Translation,none,regular,21,20,0,0,648.031,0.106475,10.7672
Office.Texture.Translation,none,regular,22,21,0,0,2418.5,0.205819,11.677
Office.Texture.Translation,none,regular,23,22,0,0,2440.52,0.0702898,21.5451
Office.Texture.Translation,none,regular,24,23,0,0,359.717,0.321287,4.76633
Office.Texture.Translation,none,regular,25,24,0,0,734.289,0.177464,6.54787
Office.Texture.Translation,none,regular,26,25,0,0,237.777,0.27717,4.75987
Office.Texture.Translation,none,regular,27,26,0,0,832.581,0.36825,4.74931
Office.Texture.Translation,none,regular,28,27,0,0,323.643,0.1495,6.69283
Office.Texture.Translation,none,regular,29,28,0,0,2665.47,0.142722,7.79759
Office.Texture.Translation,pc,regular,5,4,0,2.70116,253.387,0.569615,2.36953
Office.Texture.Translation,pc,regular,6,5,0,2.15034,194.557,0.52843,3.21278
Office.Texture.Translation,pc,regular,7,6,0,2.12579,198.28,0.40524,3.95033
